PID: 389920 | Entrada EDISOFT (App) id_usuario -->1 | "" ---> /api/usuario/crear_usuario


PID: 389918 | Entrada EDISOFT (App) id_usuario -->1 | "" ---> /api/usuario/crear_usuario


PID: 389956 | Entrada EDISOFT (App) id_usuario -->1 | "" ---> /api/usuario/crear_usuario


PID: 389920 | Entrada EDISOFT (App) id_usuario -->1 | "" ---> /api/usuario/crear_usuario


PID: 389918 | Entrada EDISOFT (App) id_usuario -->1 | "" ---> /api/usuario/crear_usuario


PID: 389920 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/usuario/obtener


PID: 389918 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/obtener


PID: 389956 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/crear


PID: 389920 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/crear


PID: 389918 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/crear


PID: 389956 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/crear


PID: 389920 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/crear


PID: 389918 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/crear


PID: 389956 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/crear


PID: 389956 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/crear


PID: 389956 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/crear


PID: 389956 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/obtener


PID: 389920 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/obtener


PID: 389920 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/cambiar_estado


PID: 389918 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/cambiar_estado


PID: 389956 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/cambiar_estado


PID: 389920 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/cambiar_estado


PID: 389920 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/cambiar_estado


PID: 389920 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/cambiar_estado


PID: 389920 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/cambiar_estado


PID: 389920 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/cliente/obtener


PID: 389918 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/container/obtener


PID: 389956 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/container/obtener


PID: 389920 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/container/obtener


PID: 389918 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/container/obtener


PID: 389956 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/container/obtener


PID: 389920 | Entrada EDISOFT (App) id_usuario -->2 | "" ---> /api/container/obtener


